study_id,study,description,sample_file,category_label,category,fold_change,original_p_value,adjusted_p_value
MTBLS10416,A metabolic switch orchestrated by IL-18 and the cyclic dinucleotide cGAMP programs intestinal tolerance,"Tissues are exposed to diverse inflammatory challenges that shape future inflammatory responses. While cellular metabolism regulates immune function, how metabolism programs and stabilizes immune states within tissues and tunes susceptibility to inflammation is poorly understood. Here, we describe an innate immune metabolic switch that programs long-term intestinal tolerance. Intestinal interleukin-18 (IL-18) stimulation elicited tolerogenic macrophages by preventing their proinflammatory glycolytic polarization via metabolic reprogramming to fatty acid oxidation (FAO). FAO reprogramming was triggered by IL-18 activation of SLC12A3 (NCC), leading to sodium influx, release of mitochondrial DNA, and activation of stimulator of interferon genes (STING). FAO was maintained in macrophages by a bistable switch that encoded memory of IL-18 stimulation and by intercellular positive feedback that sustained the production of macrophage-derived 2'3'-cyclic GMP-AMP (cGAMP) and epithelial-derived IL-18. Thus, a tissue-reinforced metabolic switch encodes durable immune tolerance in the gut and may enable reconstructing compromised immune tolerance in chronic inflammation.",m_MTBLS10416_LC-MS_alternating_hilic_metabolite_profiling_v2_maf,fatty acid anion,CHEBI:28868,46481.17857142857,2.7243816827772722e-14,2.1795053462218178e-13
MTBLS10416,A metabolic switch orchestrated by IL-18 and the cyclic dinucleotide cGAMP programs intestinal tolerance,"Tissues are exposed to diverse inflammatory challenges that shape future inflammatory responses. While cellular metabolism regulates immune function, how metabolism programs and stabilizes immune states within tissues and tunes susceptibility to inflammation is poorly understood. Here, we describe an innate immune metabolic switch that programs long-term intestinal tolerance. Intestinal interleukin-18 (IL-18) stimulation elicited tolerogenic macrophages by preventing their proinflammatory glycolytic polarization via metabolic reprogramming to fatty acid oxidation (FAO). FAO reprogramming was triggered by IL-18 activation of SLC12A3 (NCC), leading to sodium influx, release of mitochondrial DNA, and activation of stimulator of interferon genes (STING). FAO was maintained in macrophages by a bistable switch that encoded memory of IL-18 stimulation and by intercellular positive feedback that sustained the production of macrophage-derived 2'3'-cyclic GMP-AMP (cGAMP) and epithelial-derived IL-18. Thus, a tissue-reinforced metabolic switch encodes durable immune tolerance in the gut and may enable reconstructing compromised immune tolerance in chronic inflammation.",m_MTBLS10416_LC-MS_alternating_hilic_metabolite_profiling_v2_maf,monocarboxylic acid anion,CHEBI:35757,22832.859649122805,3.3313555150655515e-09,1.3325422060262206e-08
MTBLS10416,A metabolic switch orchestrated by IL-18 and the cyclic dinucleotide cGAMP programs intestinal tolerance,"Tissues are exposed to diverse inflammatory challenges that shape future inflammatory responses. While cellular metabolism regulates immune function, how metabolism programs and stabilizes immune states within tissues and tunes susceptibility to inflammation is poorly understood. Here, we describe an innate immune metabolic switch that programs long-term intestinal tolerance. Intestinal interleukin-18 (IL-18) stimulation elicited tolerogenic macrophages by preventing their proinflammatory glycolytic polarization via metabolic reprogramming to fatty acid oxidation (FAO). FAO reprogramming was triggered by IL-18 activation of SLC12A3 (NCC), leading to sodium influx, release of mitochondrial DNA, and activation of stimulator of interferon genes (STING). FAO was maintained in macrophages by a bistable switch that encoded memory of IL-18 stimulation and by intercellular positive feedback that sustained the production of macrophage-derived 2'3'-cyclic GMP-AMP (cGAMP) and epithelial-derived IL-18. Thus, a tissue-reinforced metabolic switch encodes durable immune tolerance in the gut and may enable reconstructing compromised immune tolerance in chronic inflammation.",m_MTBLS10416_LC-MS_alternating_hilic_metabolite_profiling_v2_maf,tricarboxylic acid,CHEBI:27093,1191.8250915750916,0.000838728471016265,0.002236609256043373
MTBLS10416,A metabolic switch orchestrated by IL-18 and the cyclic dinucleotide cGAMP programs intestinal tolerance,"Tissues are exposed to diverse inflammatory challenges that shape future inflammatory responses. While cellular metabolism regulates immune function, how metabolism programs and stabilizes immune states within tissues and tunes susceptibility to inflammation is poorly understood. Here, we describe an innate immune metabolic switch that programs long-term intestinal tolerance. Intestinal interleukin-18 (IL-18) stimulation elicited tolerogenic macrophages by preventing their proinflammatory glycolytic polarization via metabolic reprogramming to fatty acid oxidation (FAO). FAO reprogramming was triggered by IL-18 activation of SLC12A3 (NCC), leading to sodium influx, release of mitochondrial DNA, and activation of stimulator of interferon genes (STING). FAO was maintained in macrophages by a bistable switch that encoded memory of IL-18 stimulation and by intercellular positive feedback that sustained the production of macrophage-derived 2'3'-cyclic GMP-AMP (cGAMP) and epithelial-derived IL-18. Thus, a tissue-reinforced metabolic switch encodes durable immune tolerance in the gut and may enable reconstructing compromised immune tolerance in chronic inflammation.",m_MTBLS10416_LC-MS_alternating_hilic_metabolite_profiling_v2_maf,fatty alcohol,CHEBI:24026,584.668912848158,0.0017090331646644464,0.0029627443194304138
MTBLS10416,A metabolic switch orchestrated by IL-18 and the cyclic dinucleotide cGAMP programs intestinal tolerance,"Tissues are exposed to diverse inflammatory challenges that shape future inflammatory responses. While cellular metabolism regulates immune function, how metabolism programs and stabilizes immune states within tissues and tunes susceptibility to inflammation is poorly understood. Here, we describe an innate immune metabolic switch that programs long-term intestinal tolerance. Intestinal interleukin-18 (IL-18) stimulation elicited tolerogenic macrophages by preventing their proinflammatory glycolytic polarization via metabolic reprogramming to fatty acid oxidation (FAO). FAO reprogramming was triggered by IL-18 activation of SLC12A3 (NCC), leading to sodium influx, release of mitochondrial DNA, and activation of stimulator of interferon genes (STING). FAO was maintained in macrophages by a bistable switch that encoded memory of IL-18 stimulation and by intercellular positive feedback that sustained the production of macrophage-derived 2'3'-cyclic GMP-AMP (cGAMP) and epithelial-derived IL-18. Thus, a tissue-reinforced metabolic switch encodes durable immune tolerance in the gut and may enable reconstructing compromised immune tolerance in chronic inflammation.",m_MTBLS10416_LC-MS_alternating_hilic_metabolite_profiling_v2_maf,cation,CHEBI:36916,539.5825041459369,0.0018517151996440087,0.0029627443194304138
MTBLS10416,A metabolic switch orchestrated by IL-18 and the cyclic dinucleotide cGAMP programs intestinal tolerance,"Tissues are exposed to diverse inflammatory challenges that shape future inflammatory responses. While cellular metabolism regulates immune function, how metabolism programs and stabilizes immune states within tissues and tunes susceptibility to inflammation is poorly understood. Here, we describe an innate immune metabolic switch that programs long-term intestinal tolerance. Intestinal interleukin-18 (IL-18) stimulation elicited tolerogenic macrophages by preventing their proinflammatory glycolytic polarization via metabolic reprogramming to fatty acid oxidation (FAO). FAO reprogramming was triggered by IL-18 activation of SLC12A3 (NCC), leading to sodium influx, release of mitochondrial DNA, and activation of stimulator of interferon genes (STING). FAO was maintained in macrophages by a bistable switch that encoded memory of IL-18 stimulation and by intercellular positive feedback that sustained the production of macrophage-derived 2'3'-cyclic GMP-AMP (cGAMP) and epithelial-derived IL-18. Thus, a tissue-reinforced metabolic switch encodes durable immune tolerance in the gut and may enable reconstructing compromised immune tolerance in chronic inflammation.",m_MTBLS10416_LC-MS_alternating_hilic_metabolite_profiling_v2_maf,monosaccharide,CHEBI:35381,295.9238290131878,0.003374026149480685,0.004449417110854346
MTBLS10416,A metabolic switch orchestrated by IL-18 and the cyclic dinucleotide cGAMP programs intestinal tolerance,"Tissues are exposed to diverse inflammatory challenges that shape future inflammatory responses. While cellular metabolism regulates immune function, how metabolism programs and stabilizes immune states within tissues and tunes susceptibility to inflammation is poorly understood. Here, we describe an innate immune metabolic switch that programs long-term intestinal tolerance. Intestinal interleukin-18 (IL-18) stimulation elicited tolerogenic macrophages by preventing their proinflammatory glycolytic polarization via metabolic reprogramming to fatty acid oxidation (FAO). FAO reprogramming was triggered by IL-18 activation of SLC12A3 (NCC), leading to sodium influx, release of mitochondrial DNA, and activation of stimulator of interferon genes (STING). FAO was maintained in macrophages by a bistable switch that encoded memory of IL-18 stimulation and by intercellular positive feedback that sustained the production of macrophage-derived 2'3'-cyclic GMP-AMP (cGAMP) and epithelial-derived IL-18. Thus, a tissue-reinforced metabolic switch encodes durable immune tolerance in the gut and may enable reconstructing compromised immune tolerance in chronic inflammation.",m_MTBLS10416_LC-MS_alternating_hilic_metabolite_profiling_v2_maf,quaternary ammonium ion,CHEBI:35267,256.3973601260835,0.003893239971997553,0.004449417110854346
MTBLS10416,A metabolic switch orchestrated by IL-18 and the cyclic dinucleotide cGAMP programs intestinal tolerance,"Tissues are exposed to diverse inflammatory challenges that shape future inflammatory responses. While cellular metabolism regulates immune function, how metabolism programs and stabilizes immune states within tissues and tunes susceptibility to inflammation is poorly understood. Here, we describe an innate immune metabolic switch that programs long-term intestinal tolerance. Intestinal interleukin-18 (IL-18) stimulation elicited tolerogenic macrophages by preventing their proinflammatory glycolytic polarization via metabolic reprogramming to fatty acid oxidation (FAO). FAO reprogramming was triggered by IL-18 activation of SLC12A3 (NCC), leading to sodium influx, release of mitochondrial DNA, and activation of stimulator of interferon genes (STING). FAO was maintained in macrophages by a bistable switch that encoded memory of IL-18 stimulation and by intercellular positive feedback that sustained the production of macrophage-derived 2'3'-cyclic GMP-AMP (cGAMP) and epithelial-derived IL-18. Thus, a tissue-reinforced metabolic switch encodes durable immune tolerance in the gut and may enable reconstructing compromised immune tolerance in chronic inflammation.",m_MTBLS10416_LC-MS_alternating_hilic_metabolite_profiling_v2_maf,fatty acid,CHEBI:35366,136.2513609715243,0.0073147531126391075,0.0073147531126391075
MTBLS10418,"Liquid Chromatography-Mass Spectrometry Quantification of Phytochemicals in Withania somnifera Using Data-Dependent Acquisition, Multiple-Reaction-Monitoring, and Parallel-Reaction-Monitoring with an Inclusion List","<p>Characterization of botanical extracts by mass spectrometry-based metabolomics analysis helps in determining the phytochemical composition that underlies their bioactivity and potential health benefits, while also supporting reproducibility of effects in clinical trials. The quantification of seven withanolides in Withania somnifera using three mass-spectrometry methods was evaluated using Deming regression. Two high-resolution time-of-flight mass spectrometry methods were used, one operating in data-dependent acquisition mode and the other in parallel-reaction-monitoring mode with an inclusion list. The two high-resolution time-of-flight mass spectrometry methods were compared to a multiple-reaction-monitoring method. We evaluated in-source fragmentation of steroidal glycosides and optimized the methods accordingly. A novel software approach to integrating parallel-reaction-monitoring data acquired with an inclusion list was developed. Combining and comparing quantitative results allowed for quantitative specificity, good precision,  and adjustment of instrument source conditions for optimal quantification by multiple-reaction-monitoring mass spectrometry, an analytical method that is widely accessible in analytical and phytochemical laboratories.</p><p><br></p><p><strong>Linked R Script</strong></p><p>An R script for PRM data analysis collected with an inclusion list is available in <a href='https://github.com/marneylc/prm' rel='noopener noreferrer' target='_blank'>Github</a>.</p>",m_MTBLS10418__LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf,steroid,CHEBI:35341,1404.6251602023608,7.459491417334445e-24,2.983796566933778e-23
MTBLS10418,"Liquid Chromatography-Mass Spectrometry Quantification of Phytochemicals in Withania somnifera Using Data-Dependent Acquisition, Multiple-Reaction-Monitoring, and Parallel-Reaction-Monitoring with an Inclusion List","<p>Characterization of botanical extracts by mass spectrometry-based metabolomics analysis helps in determining the phytochemical composition that underlies their bioactivity and potential health benefits, while also supporting reproducibility of effects in clinical trials. The quantification of seven withanolides in Withania somnifera using three mass-spectrometry methods was evaluated using Deming regression. Two high-resolution time-of-flight mass spectrometry methods were used, one operating in data-dependent acquisition mode and the other in parallel-reaction-monitoring mode with an inclusion list. The two high-resolution time-of-flight mass spectrometry methods were compared to a multiple-reaction-monitoring method. We evaluated in-source fragmentation of steroidal glycosides and optimized the methods accordingly. A novel software approach to integrating parallel-reaction-monitoring data acquired with an inclusion list was developed. Combining and comparing quantitative results allowed for quantitative specificity, good precision,  and adjustment of instrument source conditions for optimal quantification by multiple-reaction-monitoring mass spectrometry, an analytical method that is widely accessible in analytical and phytochemical laboratories.</p><p><br></p><p><strong>Linked R Script</strong></p><p>An R script for PRM data analysis collected with an inclusion list is available in <a href='https://github.com/marneylc/prm' rel='noopener noreferrer' target='_blank'>Github</a>.</p>",m_MTBLS10418__LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf,diterpenoid,CHEBI:23849,354.2929476818375,4.669538793192524e-19,9.339077586385049e-19
